T,P,rho_L,rho_V,u_L,u_V,h_L,h_V,s_L,s_V
246.80343004521063,1480027.0948522415,1023.5977908266523,38.30040129199069,110098.14354107018,361169.4153310652,111544.05042765808,399812.01553697325,513.6535588600823,1681.6598748845765
247.05431316791896,1491720.275196722,1022.6122304561566,38.60721504681716,110569.92340099589,361209.65511190577,112028.6584236853,399848.03587539215,515.5698146944923,1680.5742777255864
247.3051962906273,1503480.8628140427,1021.6248361354619,38.91608337999284,111042.05127269244,361249.35839517246,112513.70780416574,399883.278672643,517.4855998139103,1679.4893715857222
247.55607941333565,1515309.092374572,1020.6355961387899,39.22701979694186,111514.52947828278,361288.5217564845,112999.20147885509,399917.7395818138,519.4009253185166,1678.405134719899
247.806962536044,1527205.1988646016,1019.6444986233508,39.54003793280316,111987.36036098943,361327.1417377113,113485.14238298495,399951.4142146378,521.315802369453,1677.3215453073092
248.05784565875234,1539169.4175892314,1018.6515316275576,39.85515155437119,112460.54628546945,361365.2148464825,113971.53347765493,399984.2981408834,523.2302421900661,1676.2385814493284
248.30872878146067,1551201.984175326,1017.6566830692005,40.17237456207339,112934.08963815184,361402.73755568935,114458.3777502262,400016.3868877307,525.1442560671651,1675.156221167383
248.559611904169,1563303.1345745267,1016.6599407435932,40.49172099198482,113407.99282758466,361439.70630297624,114945.67821472726,400047.67593913904,527.057855352313,1674.0744424007823
248.81049502687736,1575473.1050663416,1015.6612923216765,40.81320501788146,113882.25828478577,361476.1174902232,115433.43791226285,400078.1607351994,528.9710514631306,1672.9932230045217
249.06137814958572,1587712.132261301,1014.6607253480864,41.13684095333246,114356.88846360413,361511.9674830178,115921.65991143625,400107.8366714777,530.8838558846321,1671.9125407470435
249.31226127229405,1600020.4531041852,1013.6582272391861,41.46264325383278,114831.88584108464,361547.2526101175,116410.34730877477,400136.6990983433,532.7962801705822,1670.8323733079678
249.56314439500238,1612398.3048773305,1012.6537852810542,41.79062651897692,115307.25291784164,361581.96916290093,116899.50322916571,400164.74332028633,534.7083359448759,1669.752698275779
249.8140275177107,1624845.9252039962,1011.6473866274372,42.120805494674535,115782.99221844041,361616.11339481024,117389.13082630133,400191.96459522063,536.620034902948,1668.6734931454794
